;NAME;EXECUTION_CPU_1;EXECUTION_DRAM_1;implementation;number;EXECUTION_DURATION
647;cpython3_binarytrees_35;498.6341857910156;54.81764221191406;cpython3;35;4.771494150161743
648;stacklesspython2_binarytrees_36;418.6112365722656;46.3077392578125;stacklesspython2;36;3.9615070819854736
649;stacklesspython3_binarytrees_36;475.8765869140625;51.999366760253906;stacklesspython3;36;4.535041093826294
650;intelpython2_binarytrees_36;478.2048034667969;52.30280303955078;intelpython2;36;4.445136070251465
651;intelpython3_binarytrees_36;505.2484436035156;55.762611389160156;intelpython3;36;4.829255104064941
652;activepython_binarytrees_36;483.6770324707031;53.55518341064453;activepython;36;4.621932029724121
653;cython2_binarytrees_36;395.48284912109375;43.65496063232422;cython2;36;3.6762619018554688
654;cython_binarytrees_36;480.2813415527344;53.19542694091797;cython;36;4.509335041046143
655;graalpython_binarytrees_36;69.26675415039062;8.470314025878906;graalpython;36;0.7169997692108154
656;ipy_binarytrees_36;11.02166748046875;1.1675186157226562;ipy;36;0.2190999984741211
657;jython_binarytrees_36;25.958282470703125;2.6897964477539062;jython;36;0.2330000400543213
658;micropython_binarytrees_36;34.976654052734375;4.496513366699219;micropython;36;0.39347195625305176
659;nuitka_binarytrees_36;455.57037353515625;50.13585662841797;nuitka;36;4.371367931365967
660;numba2_binarytrees_36;823.3767395019531;89.29971313476562;numba2;36;7.264853000640869
661;numba3_binarytrees_36;595.8365478515625;65.03356170654297;numba3;36;5.430463790893555
662;pypy2_binarytrees_36;506.94635009765625;59.62567138671875;pypy2;36;5.33619499206543
663;pypy3_binarytrees_36;478.72918701171875;53.438507080078125;pypy3;36;4.457015037536621
664;cpython2_binarytrees_36;458.9286804199219;51.15477752685547;cpython2;36;4.208266019821167
665;cpython3_binarytrees_36;493.8188171386719;55.19879150390625;cpython3;36;4.556626081466675
666;stacklesspython2_binarytrees_37;521.2385559082031;57.07316589355469;stacklesspython2;37;4.951555013656616
667;stacklesspython3_binarytrees_37;498.04779052734375;54.64695739746094;stacklesspython3;37;4.727041006088257
668;intelpython2_binarytrees_37;467.3848876953125;51.63934326171875;intelpython2;37;4.388092994689941
669;intelpython3_binarytrees_37;558.2940368652344;62.21482849121094;intelpython3;37;5.281316041946411
670;activepython_binarytrees_37;544.4102478027344;59.77227783203125;activepython;37;5.050513982772827
671;cython2_binarytrees_37;479.0762634277344;52.69775390625;cython2;37;4.51772403717041
672;cython_binarytrees_37;555.5248107910156;60.7542724609375;cython;37;5.152872085571289
673;graalpython_binarytrees_37;69.37255859375;8.550285339355469;graalpython;37;0.7369999885559082
674;ipy_binarytrees_37;10.277313232421875;1.1169204711914062;ipy;37;0.22626996040344238
675;jython_binarytrees_37;24.8875732421875;2.82708740234375;jython;37;0.2239999771118164
676;micropython_binarytrees_37;31.77685546875;3.4886932373046875;micropython;37;0.39298200607299805
677;nuitka_binarytrees_37;511.3670349121094;56.03120422363281;nuitka;37;4.80419397354126
678;numba2_binarytrees_37;735.1124267578125;79.46353149414062;numba2;37;6.603817939758301
679;numba3_binarytrees_37;574.1949157714844;61.317726135253906;numba3;37;5.274561166763306
680;pypy2_binarytrees_37;502.7654724121094;61.485145568847656;pypy2;37;5.530945062637329
681;pypy3_binarytrees_37;462.6929626464844;52.12449645996094;pypy3;37;4.256087064743042
682;cpython2_binarytrees_37;416.78460693359375;46.025482177734375;cpython2;37;3.928118944168091
683;cpython3_binarytrees_37;471.079833984375;51.312477111816406;cpython3;37;4.4101481437683105
684;stacklesspython2_binarytrees_38;446.6427307128906;49.648719787597656;stacklesspython2;38;4.1682288646698
685;stacklesspython3_binarytrees_38;501.8514099121094;55.083770751953125;stacklesspython3;38;4.726815223693848
686;intelpython2_binarytrees_38;498.10003662109375;55.41743469238281;intelpython2;38;4.719921112060547
687;intelpython3_binarytrees_38;506.6466064453125;55.91576385498047;intelpython3;38;4.773345947265625
688;activepython_binarytrees_38;484.8680419921875;53.65007781982422;activepython;38;4.563544034957886
689;cython2_binarytrees_38;436.6982421875;48.71478271484375;cython2;38;4.076520919799805
690;cython_binarytrees_38;469.190185546875;51.51310729980469;cython;38;4.395925045013428
691;graalpython_binarytrees_38;81.11538696289062;10.008682250976562;graalpython;38;0.7389998435974121
692;ipy_binarytrees_38;10.972930908203125;1.1596145629882812;ipy;38;0.23030996322631836
693;jython_binarytrees_38;12.747100830078125;1.4805450439453125;jython;38;0.23200011253356934
694;micropython_binarytrees_38;30.54315185546875;3.4885025024414062;micropython;38;0.40105104446411133
695;nuitka_binarytrees_38;523.3833618164062;57.66315460205078;nuitka;38;4.927239179611206
696;numba2_binarytrees_38;738.1893920898438;79.19166564941406;numba2;38;6.5589280128479
697;numba3_binarytrees_38;628.8676452636719;67.5281982421875;numba3;38;5.6926188468933105
698;pypy2_binarytrees_38;499.8382568359375;59.03801727294922;pypy2;38;5.122062921524048
699;pypy3_binarytrees_38;454.8706970214844;50.620506286621094;pypy3;38;4.206883907318115
700;cpython2_binarytrees_38;428.6091003417969;46.923980712890625;cpython2;38;4.014219045639038
701;cpython3_binarytrees_38;481.67364501953125;52.459693908691406;cpython3;38;4.495284080505371
702;stacklesspython2_binarytrees_39;429.2481994628906;46.99629211425781;stacklesspython2;39;3.9607179164886475
703;stacklesspython3_binarytrees_39;569.4144897460938;63.80317687988281;stacklesspython3;39;5.442359924316406
704;intelpython2_binarytrees_39;437.7617492675781;48.34210205078125;intelpython2;39;4.059510946273804
705;intelpython3_binarytrees_39;496.60223388671875;54.32347106933594;intelpython3;39;4.769819974899292
706;activepython_binarytrees_39;502.46844482421875;54.38640594482422;activepython;39;4.658092021942139
707;cython2_binarytrees_39;512.6550903320312;55.778778076171875;cython2;39;4.685675144195557
708;cython_binarytrees_39;547.2453308105469;60.869529724121094;cython;39;5.072067022323608
709;graalpython_binarytrees_39;68.53759765625;8.427947998046875;graalpython;39;0.7780001163482666
710;ipy_binarytrees_39;10.89044189453125;1.1731033325195312;ipy;39;0.2180800437927246
711;jython_binarytrees_39;13.510498046875;1.6192169189453125;jython;39;0.21700000762939453
712;micropython_binarytrees_39;31.269439697265625;3.4882431030273438;micropython;39;0.3940620422363281
713;nuitka_binarytrees_39;481.71600341796875;53.283538818359375;nuitka;39;4.569135904312134
714;numba2_binarytrees_39;764.5119018554688;82.29158782958984;numba2;39;6.810259103775024
715;numba3_binarytrees_39;533.5788269042969;57.741607666015625;numba3;39;4.901942014694214
716;pypy2_binarytrees_39;482.2051086425781;57.658103942871094;pypy2;39;5.074626207351685
717;pypy3_binarytrees_39;451.8983154296875;51.00189971923828;pypy3;39;4.208095073699951
718;cpython2_binarytrees_39;487.9958801269531;53.37452697753906;cpython2;39;4.446514129638672
719;cpython3_binarytrees_39;547.7669067382812;59.41984558105469;cpython3;39;5.070672988891602
720;stacklesspython2_binarytrees_40;540.9908447265625;60.528770446777344;stacklesspython2;40;5.101263999938965
721;stacklesspython3_binarytrees_40;510.3122863769531;55.94658660888672;stacklesspython3;40;4.820992946624756
722;intelpython2_binarytrees_40;462.55975341796875;50.37712860107422;intelpython2;40;4.332986116409302
723;intelpython3_binarytrees_40;503.69061279296875;54.93279266357422;intelpython3;40;4.6360249519348145
724;activepython_binarytrees_40;520.6480407714844;56.96141815185547;activepython;40;4.860570907592773
725;cython2_binarytrees_40;491.6746826171875;54.202880859375;cython2;40;4.563953876495361
726;cython_binarytrees_40;497.5147705078125;55.18009948730469;cython;40;4.663291931152344
727;graalpython_binarytrees_40;81.07452392578125;9.947578430175781;graalpython;40;0.7569999694824219
728;ipy_binarytrees_40;10.996124267578125;1.159576416015625;ipy;40;0.2175900936126709
729;jython_binarytrees_40;13.23675537109375;1.3566207885742188;jython;40;0.24199986457824707
730;micropython_binarytrees_40;32.346466064453125;3.4950408935546875;micropython;40;0.39769411087036133
731;nuitka_binarytrees_40;479.82574462890625;52.301231384277344;nuitka;40;4.5062479972839355
732;numba2_binarytrees_40;782.3569641113281;85.37084197998047;numba2;40;7.172569990158081
733;numba3_binarytrees_40;650.1297302246094;70.0182113647461;numba3;40;5.92254900932312
734;pypy2_binarytrees_40;518.8574829101562;63.052276611328125;pypy2;40;5.667420864105225
